,population,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,relaxation_time,door_size
132,,132,100.0,28.17,3.6263736263736264,13.1748,7.061237548558448,0.5731578947368421,
133,,133,100.0,27.78,3.568853640951694,12.3812,7.280089115893674,0.5731578947368421,
134,,134,100.0,25.8,3.945795137504982,12.2996,6.869149730512651,0.5731578947368421,
135,,135,100.0,24.23,4.254404813064031,11.4297,6.359607137189681,0.5731578947368421,
136,,136,100.0,24.42,4.180743243243243,10.748200000000002,6.190844882860204,0.5731578947368421,
137,,137,100.0,24.72,4.125,11.2009,6.240610902335078,0.5731578947368421,
138,,138,100.0,24.46,4.228961982058949,12.076999999999998,6.251092106604456,0.5731578947368421,
139,,139,100.0,25.150000000000002,4.1112956810631225,11.1967,6.301652028867453,0.5731578947368421,
140,,140,100.0,28.44,3.5395066142295315,12.512300000000003,7.051696959604901,0.6126315789473684,
141,,141,100.0,26.22,3.934817170111288,11.797900000000002,6.5702877717829375,0.6126315789473684,
142,,142,100.0,26.51,3.889980353634577,12.453899999999999,6.883762169487017,0.6126315789473684,
143,,143,100.0,27.1,3.7288135593220337,12.4243,6.888995360777076,0.6126315789473684,
144,,144,100.0,27.37,3.7471612414837243,12.4947,6.872224795978712,0.6126315789473684,
145,,145,100.0,25.51,3.9951573849878934,11.9127,6.543389887682242,0.6126315789473684,
146,,146,100.0,26.0,3.914590747330961,11.63,6.625306244113009,0.6126315789473684,
147,,147,100.0,26.46,3.8671875,11.8523,6.662426205174354,0.6126315789473684,
148,,148,100.0,26.990000000000002,3.6871508379888267,11.510000000000002,7.360561984473247,0.6126315789473684,
149,,149,100.0,26.05,3.945795137504982,12.246799999999999,6.478055868729742,0.6126315789473684,
150,,150,100.0,29.490000000000002,3.493295695130557,13.357200000000002,7.4504344771959365,0.6521052631578947,
151,,151,100.0,28.830000000000002,3.548387096774193,13.733500000000001,7.142056882660031,0.6521052631578947,
152,,152,100.0,26.330000000000002,3.8702111024237684,11.8969,6.577283786647875,0.6521052631578947,
153,,153,100.0,26.900000000000002,3.7514209928003033,11.532400000000003,6.640958023865794,0.6521052631578947,
154,,154,100.0,26.77,3.8047655649500385,12.248700000000003,6.931098365739413,0.6521052631578947,
155,,155,100.0,27.310000000000002,3.7288135593220337,12.851700000000001,7.2053373952784465,0.6521052631578947,
156,,156,100.0,28.54,3.5611510791366907,11.7321,6.738712716892454,0.6521052631578947,
157,,157,100.0,25.51,4.040816326530612,11.6357,6.459848992043081,0.6521052631578947,
158,,158,100.0,25.13,4.087530966143683,11.414800000000005,6.102157836587502,0.6521052631578947,
159,,159,100.0,26.28,3.9727126805778488,11.7424,6.5430634285709806,0.6521052631578947,
160,,160,100.0,25.98,3.9379474940334127,12.133500000000002,6.6000374004143865,0.6915789473684211,
161,,161,100.0,25.95,3.955253695565322,11.9658,6.385629254012244,0.6915789473684211,
162,,162,100.0,28.7,3.52187833511206,12.8529,6.977976653136436,0.6915789473684211,
163,,163,100.0,30.46,3.3221476510067114,14.140699999999999,7.219135242289387,0.6915789473684211,
164,,164,100.0,32.29,3.1348955034832175,14.772900000000002,8.605956275989463,0.6915789473684211,
165,,165,100.0,26.26,3.886925795053003,12.291100000000002,6.751737957329538,0.6915789473684211,
166,,166,100.0,28.26,3.5560344827586206,12.700099999999999,7.293488654791736,0.6915789473684211,
167,,167,100.0,29.150000000000002,3.4834623504574243,13.415600000000001,7.528896295895132,0.6915789473684211,
168,,168,100.0,29.19,3.4749034749034746,13.496500000000001,7.141926341589283,0.6915789473684211,
169,,169,100.0,28.07,3.714821763602252,11.8337,6.6975319824966615,0.6915789473684211,
170,,170,100.0,27.28,3.7400831129580654,12.139399999999998,6.81921984044533,0.7310526315789474,
171,,171,100.0,28.240000000000002,3.559870550161812,12.575200000000002,6.6485525849426415,0.7310526315789474,
172,,172,100.0,27.72,3.681666046857568,12.4131,6.927379100498269,0.7310526315789474,
173,,173,100.0,28.69,3.6625971143174247,13.5041,7.105325658769745,0.7310526315789474,
174,,174,100.0,30.69,3.2759761747187293,13.716700000000003,7.659805369128467,0.7310526315789474,
175,,175,100.0,28.35,3.6490969406561,13.5052,6.968701236908706,0.7310526315789474,
176,,176,100.0,31.77,3.1398667935299716,14.791200000000002,8.035029781896244,0.7310526315789474,
177,,177,100.0,31.19,3.1771501925545573,13.4642,7.744599705992596,0.7310526315789474,
178,,178,100.0,29.580000000000002,3.417328270624784,13.648399999999999,7.382054505845423,0.7310526315789474,
179,,179,100.0,27.87,3.7800687285223367,13.466599999999998,6.746069146495086,0.7310526315789474,
180,,180,100.0,28.14,3.6,11.903999999999998,7.129816040240925,0.7705263157894737,
181,,181,100.0,29.740000000000002,3.404401650618982,12.558899999999996,7.594881303226603,0.7705263157894737,
182,,182,100.0,27.38,3.745743473325766,12.777800000000003,6.923959657113358,0.7705263157894737,
183,,183,100.0,27.23,3.7204058624577225,11.826099999999999,7.035030801193224,0.7705263157894737,
184,,184,100.0,28.88,3.5331905781584583,12.895300000000002,7.309633529345595,0.7705263157894737,
185,,185,100.0,27.93,3.6625971143174247,11.812199999999997,6.964055126000928,0.7705263157894737,
186,,186,100.0,31.63,3.1904608443441833,13.826500000000003,8.157132266806872,0.7705263157894737,
187,,187,100.0,27.7,3.7106446776611692,13.6965,6.91635996034114,0.7705263157894737,
188,,188,99.0,27.82,3.5239122617763394,12.628080808080808,7.190178771693623,0.7705263157894737,
189,,189,100.0,26.73,3.8342370255615803,11.491900000000001,6.911750161350546,0.7705263157894737,
190,,190,100.0,30.970000000000002,3.329969727547931,13.8969,7.5164041068166165,0.81,
191,,191,100.0,28.47,3.586956521739131,13.193999999999999,7.354526813226304,0.81,
192,,192,100.0,28.91,3.526897043106519,12.579500000000003,7.2081046381658105,0.81,
193,,193,100.0,30.94,3.287944204583195,12.972000000000003,7.603156574672779,0.81,
194,,194,100.0,28.53,3.60655737704918,12.762800000000002,6.657265504694852,0.81,
